MER Version,Tab,List,Indicator,HasIndicatorLink,Description,Table Data (in Markdown),Images,Links 
2.5,New Additions to MER 2.5,New Indicators,,,There are no new indicators for MER 2.5.,,,
2.5,New Additions to MER 2.5,New Disaggregations,OVC_SERV,TRUE,"OVC_SERV has been restructured to distinguish between beneficiaries in the three OVC_SERV program models: OVC Comprehensive, DREAMS, and OVC Preventive. The OVC Comprehensive disaggregate is reported by program participation status, age/sex, Exited or Transferred, and a new disaggregate to distinguish between OVC child beneficiaries aged 18-20 years and caregivers aged 18+. The DREAMS and OVC Preventive disaggregates are reported by age/sex.",,,
2.5,Adjustments from MER 2.4,Changes in Reporting Frequency,PrEP_NEW,TRUE,The reporting frequency moves from semi-annually to quarterly in FY21.,,,
2.5,Adjustments from MER 2.4,Changes in Reporting Frequency,PrEP_CURR,TRUE,The reporting frequency moves from semi-annually to quarterly in FY21.,,,
2.5,Adjustments from MER 2.4,Changes in Reporting Frequency,GEND_GBV,TRUE,The reporting frequency moves from annually to semi-annually in FY21.,,,
2.5,Adjustments from MER 2.4,Modifications to Existing Indicators,KP_PREV,TRUE,"In order to standardize KP disaggregations across the clinical cascade indicators, KP_PREV disaggregations were updated to: FSW, MSM, PWID, TG, and People in prisons and other closed settings. The disaggregations of TG SW, TG non-SW, MSM SW, MSM non-SW, PWID male, and PWID female were retired.",,,
2.5,Removals from MER 2.4,Retired Indicators,HRH_CURR,TRUE,"Starting in FY21, HRH_CURR will be retired. HRH Data will be collected via the HRH Inventory. Data collection through the HRH Inventory, along with more robust analysis and programmatic action, will allow PEPFAR to better capture the scope and nature of its staffing investments in order to optimize health worker utilization to advance epidemic control and inform sustainability planning once epidemic control is achieved. See Appendix G for additional information.",,,
2.5,Adjustments from MER 2.4,Indicator Definition Clarifications,OVC_HIVSTAT,TRUE,Clarifying language was added to state that the denominator of OVC_HIVSTAT will be auto-calculated from the OVC_SERV “OVC Comprehensive” disaggregate. Only beneficiaries enrolled in the OVC Comprehensive program should be reported in OVC_HIVSTAT.,,,
2.5,Adjustments from MER 2.4,Indicator Definition Clarifications,TX_RTT,TRUE,"Language was added to TX_RTT to state that patients reported in TX_RTT must have been experienced an interruption in treatment during any previous reporting period, successfully restarted ARVs within the current reporting period, and remained on treatment until the end of the reporting period.",,,
2.5,Adjustments from MER 2.4,Indicator Definition Clarifications,TX_ML,TRUE,Clarifying language was added to outline the relationship between TX_ML and TX_RTT.,,,
2.5,Adjustments from MER 2.4,Language Changes,,,"The following changes were made in order use patient-centered language:
Retention was changed to “continuity of treatment”.
Lost to Follow-Up (LTFU) was changed to “interruption in treatment”. Interruption in treatment (IIT) is defined as no clinical contact or ARV drug pickup for greater than 28 days since the last expected contact.",,,
2.5,Adjustments from MER 2.4,Central Support,,,"Financial support at the national or subnational level in areas where PEPFAR is not providing support at the site level is characterized as Central Support. Starting in FY21, PEPFAR Central Support will be collected as third support type, separate from DSD and TA. TX_PVLS will be added to the list of Central Support indicators. Central Support data will continue to be reported annually. For additional information, please refer to the section on PEPFAR Support to Communities and Sites.",,,
2.4,New Additions to MER 2.4,New Indicators,SC_ARVDISP,TRUE,"SC_ARVDISP is a semi-annual indicator introduced for reporting beginning in Q2 of FY20. SC_ARVDISP measures the dispensing of ARV bottles at the facility level. In addition, SC_ARVDISP measures the uptake, transition, and maintenance of patients on optimized ARV regimens as well as the phasing out of non-optimal regimens.",,,
2.4,New Additions to MER 2.4,New Indicators,SC_CURR,TRUE,SC_CURR is a semi-annual indicator introduced for reporting beginning in Q2 of FY20. SC_CURR measures the quantity of ARV stock available at the time of reporting to provide insight into the on-the-shelf availability of each ARV used for HIV treatment at the facility level. Data from SC_CURR can be coupled with data from SC_ARVDISP to determine how long the quantity of stock will last based on dispensing.,,,
2.4,New Additions to MER 2.4,New Indicators,TX_RTT,TRUE,TX_RTT is a quarterly indicator introduced for reporting beginning in Q1 of FY20. TX_RTT counts those patients who are lost to TX_CURR for more than 28 days past the last expected clinical contact who return to treatment and restart ARVs in the reporting period. This indicator counts those previously ART experienced individuals who reinitiate ARVs after being off treatment for ≥28 days (and therefore LTFU).,,,
2.4,New Additions to MER 2.4,New Disaggregations,TX_CURR,TRUE,"Two new disaggregations have been introduced for quarterly TX_CURR reporting beginning in FY20: (1) reporting TX_CURR results by KP type and (2) reporting TX_CURR by the months of ARVs dispensed to each patient to assess the uptake of multi-month dispensing (MMD) in PEPFAR-supported sites.

As a reminder, the definition of TX_CURR was modified beginning in FY 2019 based on a new definition of lost-to-follow-up (LTFU). Patients who have not received ARVs within four weeks (i.e., 28 days) of their last missed drug pick-up should not be counted in TX_CURR.",,,
2.4,New Additions to MER 2.4,New Disaggregations,TX_PVLS,TRUE,KP disaggregations have been added to both the numerator and denominator.,,,
2.4,Adjustments from MER 2.3,Changes in Reporting Frequency,TX_ML,TRUE,"The reporting frequency moves from semi-annually to quarterly in FY20 to align with other treatment indicators and improve triangulation with TX_NEW, TX_NET_NEW, TX_CURR, and TX_RTT.",,Table 4,
